ID,Type,Amount,Date,Category,Unit
270,payment,3250.0,2017-05-18,rent,3
642,expense,3622.0,2017-05-28,mortgage,3
643,expense,325.0,2017-05-28,property mgmt,3
271,payment,3250.0,2017-06-18,rent,3
644,expense,3622.0,2017-06-28,mortgage,3
645,expense,325.0,2017-06-28,property mgmt,3
272,payment,3250.0,2017-07-18,rent,3
646,expense,3622.0,2017-07-28,mortgage,3
647,expense,325.0,2017-07-28,property mgmt,3
648,expense,325.0,2017-08-08,cleaning,3
273,payment,3250.0,2017-08-18,rent,3
650,expense,3622.0,2017-08-28,mortgage,3
651,expense,325.0,2017-08-28,property mgmt,3
649,expense,325.0,2017-08-29,cleaning,3
274,payment,3250.0,2017-09-18,rent,3
652,expense,3622.0,2017-09-28,mortgage,3
653,expense,325.0,2017-09-28,property mgmt,3
275,payment,3250.0,2017-10-18,rent,3
654,expense,3622.0,2017-10-28,mortgage,3
655,expense,325.0,2017-10-28,property mgmt,3
276,payment,3250.0,2017-11-18,rent,3
656,expense,3622.0,2017-11-28,mortgage,3
657,expense,325.0,2017-11-28,property mgmt,3
658,expense,325.0,2017-12-08,cleaning,3
277,payment,3250.0,2017-12-18,rent,3
660,expense,3622.0,2017-12-28,mortgage,3
661,expense,325.0,2017-12-28,property mgmt,3
659,expense,325.0,2018-01-04,cleaning,3
278,payment,3250.0,2018-01-18,rent,3
662,expense,325.0,2018-01-20,maintenance,3
663,expense,3622.0,2018-01-28,mortgage,3
664,expense,325.0,2018-01-28,property mgmt,3
279,payment,3250.0,2018-02-18,rent,3
665,expense,3622.0,2018-02-28,mortgage,3
666,expense,325.0,2018-02-28,property mgmt,3
667,expense,325.0,2018-03-06,maintenance,3
280,payment,3250.0,2018-03-18,rent,3
668,expense,3622.0,2018-03-28,mortgage,3
669,expense,325.0,2018-03-28,property mgmt,3
281,payment,3250.0,2018-04-18,rent,3
670,expense,3622.0,2018-04-28,mortgage,3
671,expense,325.0,2018-04-28,property mgmt,3
282,payment,3250.0,2018-05-18,rent,3
672,expense,3622.0,2018-05-28,mortgage,3
673,expense,325.0,2018-05-28,property mgmt,3
283,payment,3250.0,2018-06-18,rent,3
674,expense,3622.0,2018-06-28,mortgage,3
675,expense,325.0,2018-06-28,property mgmt,3
284,payment,3250.0,2018-07-18,rent,3
676,expense,3622.0,2018-07-28,mortgage,3
677,expense,325.0,2018-07-28,property mgmt,3
678,expense,325.0,2018-08-08,rennovations,3
679,expense,325.0,2018-08-12,rennovations,3
285,payment,3250.0,2018-08-18,rent,3
680,expense,3622.0,2018-08-28,mortgage,3
681,expense,325.0,2018-08-28,property mgmt,3
682,expense,325.0,2018-09-16,repairs,3
286,payment,3250.0,2018-09-18,rent,3
683,expense,3622.0,2018-09-28,mortgage,3
684,expense,325.0,2018-09-28,property mgmt,3
287,payment,3250.0,2018-10-18,rent,3
685,expense,3622.0,2018-10-28,mortgage,3
686,expense,325.0,2018-10-28,property mgmt,3
288,payment,3250.0,2018-11-18,rent,3
687,expense,3622.0,2018-11-28,mortgage,3
688,expense,325.0,2018-11-28,property mgmt,3
289,payment,3250.0,2018-12-18,rent,3
689,expense,3622.0,2018-12-28,mortgage,3
690,expense,325.0,2018-12-28,property mgmt,3
290,payment,3250.0,2019-01-18,rent,3
691,expense,3622.0,2019-01-28,mortgage,3
692,expense,325.0,2019-01-28,property mgmt,3
693,expense,325.0,2019-02-09,maintenance,3
291,payment,3250.0,2019-02-18,rent,3
695,expense,3622.0,2019-02-28,mortgage,3
696,expense,325.0,2019-02-28,property mgmt,3
694,expense,325.0,2019-03-10,maintenance,3
292,payment,3250.0,2019-03-18,rent,3
697,expense,3622.0,2019-03-28,mortgage,3
698,expense,325.0,2019-03-28,property mgmt,3
699,expense,325.0,2019-04-17,repairs,3
293,payment,3250.0,2019-04-18,rent,3
700,expense,3622.0,2019-04-28,mortgage,3
701,expense,325.0,2019-04-28,property mgmt,3
294,payment,3250.0,2019-05-18,rent,3
702,expense,3622.0,2019-05-28,mortgage,3
703,expense,325.0,2019-05-28,property mgmt,3
704,expense,325.0,2019-06-03,cleaning,3
705,expense,325.0,2019-06-06,cleaning,3
295,payment,3250.0,2019-06-18,rent,3
706,expense,3622.0,2019-06-28,mortgage,3
707,expense,325.0,2019-06-28,property mgmt,3
708,expense,325.0,2019-07-14,maintenance,3
709,expense,3622.0,2019-07-28,mortgage,3
710,expense,325.0,2019-07-28,property mgmt,3
296,payment,3250.0,2019-07-31,security deposit,3
297,payment,3250.0,2019-07-31,rent,3
711,expense,325.0,2019-07-31,rennovations,3
712,expense,3622.0,2019-08-28,mortgage,3
713,expense,325.0,2019-08-28,property mgmt,3
298,payment,3250.0,2019-08-31,rent,3
714,expense,3622.0,2019-09-28,mortgage,3
715,expense,325.0,2019-09-28,property mgmt,3
299,payment,3250.0,2019-09-30,rent,3
716,expense,3622.0,2019-10-28,mortgage,3
717,expense,325.0,2019-10-28,property mgmt,3
300,payment,3250.0,2019-10-30,rent,3
718,expense,3622.0,2019-11-28,mortgage,3
719,expense,325.0,2019-11-28,property mgmt,3
301,payment,3250.0,2019-11-30,rent,3
720,expense,3622.0,2019-12-28,mortgage,3
721,expense,325.0,2019-12-28,property mgmt,3
302,payment,3250.0,2019-12-30,rent,3
722,expense,325.0,2020-01-16,repairs,3
723,expense,3622.0,2020-01-28,mortgage,3
724,expense,325.0,2020-01-28,property mgmt,3
303,payment,3250.0,2020-01-30,rent,3
725,expense,3622.0,2020-02-28,mortgage,3
726,expense,325.0,2020-02-28,property mgmt,3
304,payment,3250.0,2020-02-29,rent,3
727,expense,325.0,2020-03-28,repairs,3
728,expense,3622.0,2020-03-28,mortgage,3
729,expense,325.0,2020-03-28,property mgmt,3
305,payment,3250.0,2020-03-29,rent,3
730,expense,3622.0,2020-04-28,mortgage,3
731,expense,325.0,2020-04-28,property mgmt,3
306,payment,3250.0,2020-04-29,rent,3
732,expense,325.0,2020-05-15,rennovations,3
733,expense,3622.0,2020-05-28,mortgage,3
734,expense,325.0,2020-05-28,property mgmt,3
307,payment,3250.0,2020-05-29,rent,3
735,expense,3622.0,2020-06-28,mortgage,3
736,expense,325.0,2020-06-28,property mgmt,3
308,payment,3250.0,2020-06-29,rent,3
737,expense,3622.0,2020-07-28,mortgage,3
738,expense,325.0,2020-07-28,property mgmt,3
309,payment,3250.0,2020-07-29,rent,3
739,expense,325.0,2020-08-23,repairs,3
740,expense,3622.0,2020-08-28,mortgage,3
741,expense,325.0,2020-08-28,property mgmt,3
310,payment,3250.0,2020-08-29,rent,3
742,expense,325.0,2020-09-23,cleaning,3
743,expense,3622.0,2020-09-28,mortgage,3
744,expense,325.0,2020-09-28,property mgmt,3
311,payment,3250.0,2020-09-29,rent,3
745,expense,325.0,2020-10-05,repairs,3
746,expense,3622.0,2020-10-28,mortgage,3
747,expense,325.0,2020-10-28,property mgmt,3
312,payment,3250.0,2020-10-29,rent,3
748,expense,3622.0,2020-11-28,mortgage,3
749,expense,325.0,2020-11-28,property mgmt,3
313,payment,3250.0,2020-11-29,rent,3
750,expense,3622.0,2020-12-28,mortgage,3
751,expense,325.0,2020-12-28,property mgmt,3
314,payment,3250.0,2020-12-29,rent,3
752,expense,325.0,2021-01-11,cleaning,3
753,expense,3622.0,2021-01-28,mortgage,3
754,expense,325.0,2021-01-28,property mgmt,3
315,payment,3250.0,2021-01-29,rent,3
316,payment,3250.0,2021-02-28,rent,3
755,expense,3622.0,2021-02-28,mortgage,3
756,expense,325.0,2021-02-28,property mgmt,3
317,payment,3250.0,2021-03-28,rent,3
757,expense,3622.0,2021-03-28,mortgage,3
758,expense,325.0,2021-03-28,property mgmt,3
318,payment,3250.0,2021-04-28,rent,3
759,expense,3622.0,2021-04-28,mortgage,3
760,expense,325.0,2021-04-28,property mgmt,3
761,expense,325.0,2021-05-05,maintenance,3
762,expense,3622.0,2021-05-28,mortgage,3
763,expense,325.0,2021-05-28,property mgmt,3
764,expense,325.0,2021-06-03,maintenance,3
765,expense,3622.0,2021-06-28,mortgage,3
766,expense,325.0,2021-06-28,property mgmt,3
319,payment,3250.0,2021-06-30,security deposit,3
320,payment,3250.0,2021-06-30,rent,3
767,expense,3622.0,2021-07-28,mortgage,3
768,expense,325.0,2021-07-28,property mgmt,3
321,payment,3250.0,2021-07-30,rent,3
769,expense,3622.0,2021-08-28,mortgage,3
770,expense,325.0,2021-08-28,property mgmt,3
322,payment,3250.0,2021-08-30,rent,3
771,expense,3622.0,2021-09-28,mortgage,3
772,expense,325.0,2021-09-28,property mgmt,3
323,payment,3250.0,2021-09-30,rent,3
773,expense,3622.0,2021-10-28,mortgage,3
774,expense,325.0,2021-10-28,property mgmt,3
324,payment,3250.0,2021-10-30,rent,3
775,expense,3622.0,2021-11-28,mortgage,3
776,expense,325.0,2021-11-28,property mgmt,3
325,payment,3250.0,2021-11-30,rent,3
777,expense,3622.0,2021-12-28,mortgage,3
778,expense,325.0,2021-12-28,property mgmt,3
326,payment,3250.0,2021-12-30,rent,3
779,expense,3622.0,2022-01-28,mortgage,3
780,expense,325.0,2022-01-28,property mgmt,3
327,payment,3250.0,2022-01-30,rent,3
328,payment,3250.0,2022-02-28,rent,3
781,expense,3622.0,2022-02-28,mortgage,3
782,expense,325.0,2022-02-28,property mgmt,3
329,payment,3250.0,2022-03-28,rent,3
783,expense,3622.0,2022-03-28,mortgage,3
784,expense,325.0,2022-03-28,property mgmt,3
330,payment,3250.0,2022-04-28,rent,3
785,expense,3622.0,2022-04-28,mortgage,3
786,expense,325.0,2022-04-28,property mgmt,3
331,payment,3250.0,2022-05-28,rent,3
787,expense,3622.0,2022-05-28,mortgage,3
788,expense,325.0,2022-05-28,property mgmt,3
332,payment,3250.0,2022-06-28,rent,3
789,expense,3622.0,2022-06-28,mortgage,3
790,expense,325.0,2022-06-28,property mgmt,3
791,expense,325.0,2022-07-19,repairs,3
333,payment,3250.0,2022-07-28,rent,3
793,expense,3622.0,2022-07-28,mortgage,3
794,expense,325.0,2022-07-28,property mgmt,3
792,expense,325.0,2022-08-13,repairs,3
334,payment,3250.0,2022-08-28,rent,3
795,expense,3622.0,2022-08-28,mortgage,3
796,expense,325.0,2022-08-28,property mgmt,3
335,payment,3250.0,2022-09-28,rent,3
797,expense,3622.0,2022-09-28,mortgage,3
798,expense,325.0,2022-09-28,property mgmt,3
336,payment,3250.0,2022-10-28,rent,3
799,expense,3622.0,2022-10-28,mortgage,3
800,expense,325.0,2022-10-28,property mgmt,3
337,payment,3250.0,2022-11-28,rent,3
801,expense,3622.0,2022-11-28,mortgage,3
802,expense,325.0,2022-11-28,property mgmt,3
338,payment,3250.0,2022-12-28,rent,3
803,expense,3622.0,2022-12-28,mortgage,3
804,expense,325.0,2022-12-28,property mgmt,3
339,payment,3250.0,2023-01-28,rent,3
805,expense,3622.0,2023-01-28,mortgage,3
806,expense,325.0,2023-01-28,property mgmt,3
807,expense,325.0,2023-02-17,cleaning,3
340,payment,3250.0,2023-02-28,rent,3
808,expense,3622.0,2023-02-28,mortgage,3
809,expense,325.0,2023-02-28,property mgmt,3
810,expense,325.0,2023-03-25,rennovations,3
341,payment,3250.0,2023-03-28,rent,3
812,expense,3622.0,2023-03-28,mortgage,3
813,expense,325.0,2023-03-28,property mgmt,3
811,expense,325.0,2023-04-18,rennovations,3
342,payment,3250.0,2023-04-28,rent,3
814,expense,3622.0,2023-04-28,mortgage,3
815,expense,325.0,2023-04-28,property mgmt,3
343,payment,3250.0,2023-05-28,rent,3
816,expense,3622.0,2023-05-28,mortgage,3
817,expense,325.0,2023-05-28,property mgmt,3
344,payment,3250.0,2023-06-28,rent,3
818,expense,3622.0,2023-06-28,mortgage,3
819,expense,325.0,2023-06-28,property mgmt,3
820,expense,325.0,2023-07-26,cleaning,3
345,payment,3250.0,2023-07-28,rent,3
821,expense,3622.0,2023-07-28,mortgage,3
822,expense,325.0,2023-07-28,property mgmt,3
346,payment,3250.0,2023-08-28,rent,3
823,expense,3622.0,2023-08-28,mortgage,3
824,expense,325.0,2023-08-28,property mgmt,3
347,payment,3250.0,2023-09-28,rent,3
825,expense,3622.0,2023-09-28,mortgage,3
826,expense,325.0,2023-09-28,property mgmt,3
827,expense,325.0,2023-10-21,repairs,3
348,payment,3250.0,2023-10-28,rent,3
828,expense,3622.0,2023-10-28,mortgage,3
829,expense,325.0,2023-10-28,property mgmt,3
349,payment,3250.0,2023-11-28,rent,3
830,expense,3622.0,2023-11-28,mortgage,3
831,expense,325.0,2023-11-28,property mgmt,3
350,payment,3250.0,2023-12-28,rent,3
832,expense,3622.0,2023-12-28,mortgage,3
833,expense,325.0,2023-12-28,property mgmt,3
834,expense,325.0,2024-01-12,repairs,3
351,payment,3250.0,2024-01-28,rent,3
836,expense,3622.0,2024-01-28,mortgage,3
837,expense,325.0,2024-01-28,property mgmt,3
835,expense,325.0,2024-02-08,repairs,3
352,payment,3250.0,2024-02-28,rent,3
838,expense,3622.0,2024-02-28,mortgage,3
839,expense,325.0,2024-02-28,property mgmt,3
353,payment,3250.0,2024-03-28,rent,3
840,expense,3622.0,2024-03-28,mortgage,3
841,expense,325.0,2024-03-28,property mgmt,3
842,expense,325.0,2024-04-24,repairs,3
354,payment,3250.0,2024-04-28,rent,3
843,expense,3622.0,2024-04-28,mortgage,3
844,expense,325.0,2024-04-28,property mgmt,3
845,expense,325.0,2024-05-21,repairs,3
355,payment,3250.0,2024-05-28,rent,3
846,expense,3622.0,2024-05-28,mortgage,3
847,expense,325.0,2024-05-28,property mgmt,3
848,expense,325.0,2024-06-06,rennovations,3
849,expense,325.0,2024-06-15,rennovations,3
356,payment,3250.0,2024-06-28,rent,3
850,expense,3622.0,2024-06-28,mortgage,3
851,expense,325.0,2024-06-28,property mgmt,3
357,payment,3250.0,2024-07-28,rent,3
852,expense,3622.0,2024-07-28,mortgage,3
853,expense,325.0,2024-07-28,property mgmt,3
854,expense,325.0,2024-08-01,rennovations,3
358,payment,3250.0,2024-08-28,rent,3
855,expense,325.0,2024-08-28,rennovations,3
856,expense,3622.0,2024-08-28,mortgage,3
857,expense,325.0,2024-08-28,property mgmt,3
359,payment,3250.0,2024-09-28,rent,3
858,expense,3622.0,2024-09-28,mortgage,3
859,expense,325.0,2024-09-28,property mgmt,3
360,payment,3250.0,2024-10-28,rent,3
860,expense,3622.0,2024-10-28,mortgage,3
861,expense,325.0,2024-10-28,property mgmt,3
361,payment,3250.0,2024-11-28,rent,3
862,expense,3622.0,2024-11-28,mortgage,3
863,expense,325.0,2024-11-28,property mgmt,3
362,payment,3250.0,2024-12-28,rent,3
864,expense,3622.0,2024-12-28,mortgage,3
865,expense,325.0,2024-12-28,property mgmt,3
866,expense,325.0,2025-01-06,repairs,3
